,dep,dep_pos,dep_w,pred
876,_PLACEHOLDER_SUB_ -> parataxis -> is -> attr -> _PLACEHOLDER_OBJ_,NOUN,_PLACEHOLDER_OBJ_ dish _PLACEHOLDER_SUB_,www.freebase.com/food/dish/cuisine
877,_PLACEHOLDER_OBJ_ -> acl -> called -> oprd -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is dish made from _PLACEHOLDER_OBJ_,www.freebase.com/food/dish/ingredients
878,_PLACEHOLDER_SUB_ -> acl -> is -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ are type of _PLACEHOLDER_OBJ_,www.freebase.com/food/dish/type_of_dish1
879,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/food/drinking_establishment/drinking_establishment_type
880,_PLACEHOLDER_OBJ_ <- pobj <- as <- prep <- drinks <- nsubj <- are <- ccomp <- consumed -> dobj -> _PLACEHOLDER_SUB_,ADP NOUN VERB VERB,_PLACEHOLDER_OBJ_ as drinks are consumed _PLACEHOLDER_SUB_,www.freebase.com/food/food/nutrients
881,_PLACEHOLDER_OBJ_ -> acl -> give -> dobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ divided into _PLACEHOLDER_SUB_,www.freebase.com/food/ingredient/more_general_ingredient
882,_PLACEHOLDER_SUB_ <- csubj <- is -> attr -> tea -> prep -> from -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is tea from _PLACEHOLDER_OBJ_,www.freebase.com/food/tea/regions_where_grown
883,_PLACEHOLDER_OBJ_ <- amod <- plants -> prep -> for -> pobj -> _PLACEHOLDER_SUB_,NOUN ADP,_PLACEHOLDER_OBJ_ plants for _PLACEHOLDER_SUB_,www.freebase.com/food/tea/tea_type
884,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/freebase/list/entries
885,_PLACEHOLDER_SUB_ <- dobj <- recall <- acl <- effort <- dobj <- made -> conj -> resisted -> nsubj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB VERB,_PLACEHOLDER_SUB_ recall effort made resisted _PLACEHOLDER_OBJ_,www.freebase.com/freebase/notability_hints/notable_for
886,_PLACEHOLDER_OBJ_ <- nsubj <- has -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is unit of _PLACEHOLDER_OBJ_,www.freebase.com/freebase/unit_profile/dimension
887,_PLACEHOLDER_SUB_ -> acl -> called -> oprd -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ called _PLACEHOLDER_OBJ_,www.freebase.com/games/game/derived_from
888,_PLACEHOLDER_SUB_ <- nsubjpass <- named -> prep -> after -> pobj -> town -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP NOUN ADP,_PLACEHOLDER_SUB_ named after town of _PLACEHOLDER_OBJ_,www.freebase.com/games/game/game_subjects
889,_PLACEHOLDER_OBJ_ -> acl -> based -> prep -> on -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is game _PLACEHOLDER_OBJ_,www.freebase.com/games/game/genre
890,_PLACEHOLDER_SUB_ <- advcl <- is -> attr -> wargame -> acl -> produced -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is game produced by _PLACEHOLDER_OBJ_,www.freebase.com/games/game/publisher
891,_PLACEHOLDER_OBJ_ <- nsubjpass <- owned -> prep -> through -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ owned through _PLACEHOLDER_SUB_,www.freebase.com/geography/geographical_feature/category
892,_PLACEHOLDER_SUB_ -> acl -> known -> prep -> as -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is type of _PLACEHOLDER_OBJ_,www.freebase.com/geography/geographical_feature_category/subcategory_of
893,_PLACEHOLDER_OBJ_ -> relcl -> radiate -> prep -> from -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is island _PLACEHOLDER_OBJ_,www.freebase.com/geography/island/body_of_water
894,_PLACEHOLDER_OBJ_ <- nsubj <- are -> attr -> islands -> appos -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is island in _PLACEHOLDER_OBJ_,www.freebase.com/geography/island/island_group
895,_PLACEHOLDER_OBJ_ -> acl -> is -> nsubj -> middle -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is island in _PLACEHOLDER_SUB_,www.freebase.com/geography/island_group/islands_in_group
896,_PLACEHOLDER_OBJ_ <- nsubjpass <- bounded -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ became lake in _PLACEHOLDER_OBJ_,www.freebase.com/geography/lake/basin_countries
897,_PLACEHOLDER_SUB_ <- nsubj <- is -> advmod -> north -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is lake in _PLACEHOLDER_OBJ_,www.freebase.com/geography/lake/cities
898,_PLACEHOLDER_OBJ_ -> relcl -> inundated -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is inflow of _PLACEHOLDER_SUB_,www.freebase.com/geography/lake/inflow
899,_PLACEHOLDER_OBJ_ -> acl -> formed -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is lake _PLACEHOLDER_OBJ_,www.freebase.com/geography/lake/lake_type
900,_PLACEHOLDER_OBJ_ -> acl -> is -> attr -> river -> acl -> flowing -> prep -> from -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is outflow flowing into _PLACEHOLDER_SUB_,www.freebase.com/geography/lake/outflow
901,_PLACEHOLDER_OBJ_ <- nsubj <- is -> nsubj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ is _PLACEHOLDER_SUB_,www.freebase.com/geography/mountain/listings
902,_PLACEHOLDER_OBJ_ -> relcl -> comprises -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ are range with _PLACEHOLDER_SUB_,www.freebase.com/geography/mountain/mountain_range
903,_PLACEHOLDER_OBJ_ <- nsubj <- lies -> nsubj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ lies _PLACEHOLDER_SUB_,www.freebase.com/geography/mountain/mountain_type
904,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ was _PLACEHOLDER_SUB_,www.freebase.com/geography/mountain_listing/mountains
905,_PLACEHOLDER_SUB_ -> acl||dobj -> pass -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is pass _PLACEHOLDER_OBJ_,www.freebase.com/geography/mountain_pass/range
906,_PLACEHOLDER_OBJ_ <- nsubj <- passes -> prep -> through -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_SUB_ used by _PLACEHOLDER_OBJ_,www.freebase.com/geography/mountain_pass/transversed_by
907,_PLACEHOLDER_OBJ_ -> acl -> is -> attr -> volcano -> acl -> located -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is mountain in _PLACEHOLDER_SUB_,www.freebase.com/geography/mountain_range/mountains
908,_PLACEHOLDER_OBJ_ -> appos -> approaches -> compound -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is river _PLACEHOLDER_OBJ_,www.freebase.com/geography/river/basin_countries
909,_PLACEHOLDER_OBJ_ <- npadvmod <- is -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is river in _PLACEHOLDER_OBJ_,www.freebase.com/geography/river/cities
910,_PLACEHOLDER_OBJ_ -> relcl -> differentiate -> prep -> from -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is river drains to _PLACEHOLDER_OBJ_,www.freebase.com/geography/river/mouth
911,_PLACEHOLDER_OBJ_ -> appos -> confluent -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is river flowing from _PLACEHOLDER_OBJ_,www.freebase.com/geography/river/origin
912,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/geology/geological_formation/type_of_rock
913,_PLACEHOLDER_OBJ_ -> relcl -> was -> attr -> sandstone -> compound -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is type of _PLACEHOLDER_OBJ_,www.freebase.com/geology/rock_type/parent_rock_type
914,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> holocrystalline -> appos -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is rock _PLACEHOLDER_OBJ_,www.freebase.com/geology/rock_type/sub_types
915,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> election -> relcl -> become -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN VERB,_PLACEHOLDER_SUB_ was election become _PLACEHOLDER_OBJ_,www.freebase.com/government/election/office
916,_PLACEHOLDER_OBJ_ <- nsubj <- entered -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB NOUN,_PLACEHOLDER_SUB_ is election lost winner _PLACEHOLDER_OBJ_,www.freebase.com/government/election/winner
917,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> institution -> relcl -> elects -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB,_PLACEHOLDER_OBJ_ is institution elects _PLACEHOLDER_SUB_,www.freebase.com/government/electoral_college/offices
918,_PLACEHOLDER_SUB_ <- nsubj <- succeeded -> conj -> founded -> dobj -> _PLACEHOLDER_OBJ_,VERB VERB,_PLACEHOLDER_SUB_ succeeded founded _PLACEHOLDER_OBJ_,www.freebase.com/government/form_of_government/countries
919,_PLACEHOLDER_SUB_ <- nsubj <- is -> advcl -> responsible -> prep -> for -> pobj -> defence -> poss -> _PLACEHOLDER_OBJ_,VERB ADJ ADP NOUN,_PLACEHOLDER_SUB_ is responsible for defence _PLACEHOLDER_OBJ_,www.freebase.com/government/government/government_for
920,_PLACEHOLDER_SUB_ -> acl -> is -> attr -> agency -> poss -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is agency _PLACEHOLDER_OBJ_,www.freebase.com/government/government_agency/jurisdiction
921,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> predecessor -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was predecessor of _PLACEHOLDER_SUB_,www.freebase.com/government/government_agency/predecessor_agency
922,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> predecessor -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was predecessor of _PLACEHOLDER_OBJ_,www.freebase.com/government/government_agency/successor_agency
923,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> ruler -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was ruler of _PLACEHOLDER_SUB_,www.freebase.com/government/government_office_category/officeholders
924,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/government/government_office_or_title/category
925,_PLACEHOLDER_OBJ_ <- attr <- be -> advcl -> been -> nsubj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ be been _PLACEHOLDER_SUB_,www.freebase.com/government/government_office_or_title/governmental_body_if_any
926,_PLACEHOLDER_OBJ_ <- nsubj <- refer -> ccomp -> serves -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ is post in government _PLACEHOLDER_OBJ_,www.freebase.com/government/government_office_or_title/jurisdiction
927,_PLACEHOLDER_OBJ_ -> relcl -> been -> nsubj -> incumbent -> appos -> _PLACEHOLDER_SUB_,VERB VERB NOUN ADP,_PLACEHOLDER_SUB_ elected assume office as _PLACEHOLDER_OBJ_,www.freebase.com/government/government_office_or_title/office_holders
928,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> minister -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was minister of _PLACEHOLDER_OBJ_,www.freebase.com/government/government_position_held/jurisdiction_of_office
929,_PLACEHOLDER_OBJ_ <- nsubj <- consists -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ consists of _PLACEHOLDER_SUB_,www.freebase.com/government/governmental_body/body_this_is_a_component_of
930,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> chamber -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is body consisting of _PLACEHOLDER_OBJ_,www.freebase.com/government/governmental_body/component_bodies
931,_PLACEHOLDER_OBJ_ -> acl -> located -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,NOUN ADP,_PLACEHOLDER_SUB_ body of _PLACEHOLDER_OBJ_,www.freebase.com/government/governmental_body/jurisdiction
932,_PLACEHOLDER_OBJ_ -> acl -> is -> nsubj -> parliament -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ choose _PLACEHOLDER_SUB_,www.freebase.com/government/governmental_body/members
933,_PLACEHOLDER_OBJ_ <- nsubj <- leads -> dobj -> business -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ leads business of _PLACEHOLDER_SUB_,www.freebase.com/government/governmental_body/offices_positions
934,_PLACEHOLDER_OBJ_ -> acl -> located -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ became power after _PLACEHOLDER_SUB_,www.freebase.com/government/governmental_jurisdiction/governing_officials
935,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> authority -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is authority in _PLACEHOLDER_SUB_,www.freebase.com/government/governmental_jurisdiction/government
936,_PLACEHOLDER_OBJ_ -> acl -> is -> nsubj -> parliament -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ is arm of government _PLACEHOLDER_SUB_,www.freebase.com/government/governmental_jurisdiction/government_bodies
937,_PLACEHOLDER_SUB_ <- nsubj <- refer -> ccomp -> serves -> nsubj -> _PLACEHOLDER_OBJ_,VERB VERB,_PLACEHOLDER_SUB_ refer serves _PLACEHOLDER_OBJ_,www.freebase.com/government/governmental_jurisdiction/government_positions
938,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> anthem -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is anthem of _PLACEHOLDER_SUB_,www.freebase.com/government/national_anthem/national_anthem_of
939,_PLACEHOLDER_OBJ_ <- nsubj <- became -> attr -> dictator -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ became dictator of _PLACEHOLDER_SUB_,www.freebase.com/government/political_appointer/appointees
940,_PLACEHOLDER_OBJ_ <- dobj <- admitting -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ admitted to _PLACEHOLDER_SUB_,www.freebase.com/government/political_district/representatives
941,_PLACEHOLDER_OBJ_ -> parataxis -> is -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is party _PLACEHOLDER_OBJ_,www.freebase.com/government/political_party/ideology
942,_PLACEHOLDER_OBJ_ -> acl -> led -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is party established by _PLACEHOLDER_SUB_,www.freebase.com/government/political_party/politicians_in_this_party
943,_PLACEHOLDER_OBJ_ <- nsubj <- accumulated -> dobj -> power -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ is politician _PLACEHOLDER_SUB_,www.freebase.com/government/politician/government_positions_held
944,_PLACEHOLDER_OBJ_ <- nsubj <- became -> attr -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ is politician _PLACEHOLDER_SUB_,www.freebase.com/government/politician/party
945,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> coach -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is coach of _PLACEHOLDER_OBJ_,www.freebase.com/ice_hockey/hockey_coach/current_team
946,_PLACEHOLDER_SUB_ -> acl -> pronounced -> ccomp -> was -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is player played as _PLACEHOLDER_OBJ_,www.freebase.com/ice_hockey/hockey_player/hockey_position
947,_PLACEHOLDER_OBJ_ <- nsubj <- serves -> prep -> as -> pobj -> coach -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB ADP NOUN ADP,_PLACEHOLDER_OBJ_ serves as coach of _PLACEHOLDER_SUB_,www.freebase.com/ice_hockey/hockey_team/coach
948,_PLACEHOLDER_OBJ_ -> parataxis -> was -> attr -> psychologist -> compound -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was influence on _PLACEHOLDER_OBJ_,www.freebase.com/influence/influence_node/influenced
949,_PLACEHOLDER_OBJ_ -> relcl -> influenced -> dobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ called by _PLACEHOLDER_SUB_,www.freebase.com/influence/influence_node/influenced_by
950,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> brother -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is brother of _PLACEHOLDER_SUB_,www.freebase.com/influence/influence_node/peers
951,_PLACEHOLDER_OBJ_ <- nsubj <- grew -> conj -> founded -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ is editor of blog _PLACEHOLDER_SUB_,www.freebase.com/internet/blog/blogger
952,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is domain _PLACEHOLDER_OBJ_,www.freebase.com/internet/top_level_domain/domain_type
953,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> domain -> prep -> for -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is domain for _PLACEHOLDER_OBJ_,www.freebase.com/internet/top_level_domain/sponsor
954,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> domain -> prep -> for -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is domain for _PLACEHOLDER_SUB_,www.freebase.com/internet/top_level_domain_sponsor/domains
955,_PLACEHOLDER_SUB_ -> dep -> are -> csubj -> networking -> dobj -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is website _PLACEHOLDER_OBJ_,www.freebase.com/internet/website/category
956,_PLACEHOLDER_OBJ_ -> conj -> operators -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is owner of _PLACEHOLDER_SUB_,www.freebase.com/internet/website/owner
957,_PLACEHOLDER_OBJ_ <- nsubjpass <- operated -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ operated by _PLACEHOLDER_SUB_,www.freebase.com/internet/website/owner_new
958,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> webcomic -> acl -> created -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is webcomic created by _PLACEHOLDER_SUB_,www.freebase.com/internet/website_owner/websites_owned
959,_PLACEHOLDER_OBJ_ <- nsubj <- acquired -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is owner of _PLACEHOLDER_SUB_,www.freebase.com/internet/website_owner/websites_owned_new
960,_PLACEHOLDER_OBJ_ <- nsubj <- listen -> npadvmod -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ has status in _PLACEHOLDER_OBJ_,www.freebase.com/language/human_language/countries_spoken_in
961,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> basis -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is basis of _PLACEHOLDER_SUB_,www.freebase.com/language/human_language/dialects
962,_PLACEHOLDER_OBJ_ -> acl -> ending -> dobj -> phase -> acl -> known -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ encompasses language _PLACEHOLDER_SUB_,www.freebase.com/language/human_language/language_family
963,_PLACEHOLDER_OBJ_ <- nsubj <- listen -> npadvmod -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is language in _PLACEHOLDER_OBJ_,www.freebase.com/language/human_language/main_country
964,_PLACEHOLDER_OBJ_ -> acl -> invented -> xcomp -> write -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is system for _PLACEHOLDER_SUB_,www.freebase.com/language/human_language/writing_system
965,_PLACEHOLDER_SUB_ -> parataxis -> is -> attr -> dialect -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is dialect of _PLACEHOLDER_OBJ_,www.freebase.com/language/language_dialect/language
966,_PLACEHOLDER_OBJ_ -> acl -> known -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ is member of family _PLACEHOLDER_SUB_,www.freebase.com/language/language_family/languages
967,_PLACEHOLDER_OBJ_ -> appos -> name -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ are branch of _PLACEHOLDER_OBJ_,www.freebase.com/language/language_family/member_of_language_families
968,_PLACEHOLDER_OBJ_ <- nsubj <- be -> attr -> part -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ be part of _PLACEHOLDER_SUB_,www.freebase.com/language/language_family/sub_families
969,_PLACEHOLDER_SUB_ -> appos -> is -> attr -> adaptation -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ has _PLACEHOLDER_OBJ_,www.freebase.com/language/language_writing_system/parent_writing_systems
970,_PLACEHOLDER_OBJ_ <- nsubj <- used -> xcomp -> write -> dobj -> _PLACEHOLDER_SUB_,VERB VERB VERB NOUN,_PLACEHOLDER_OBJ_ is used write language _PLACEHOLDER_SUB_,www.freebase.com/language/language_writing_system/type_of_writing
971,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> law -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is law of _PLACEHOLDER_OBJ_,www.freebase.com/law/constitution/country
972,_PLACEHOLDER_SUB_ -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,ADP,_PLACEHOLDER_SUB_ of _PLACEHOLDER_OBJ_,www.freebase.com/law/constitutional_amendment/constitution
973,_PLACEHOLDER_SUB_ <- nsubj <- leads -> dobj -> business -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ leads business of _PLACEHOLDER_OBJ_,www.freebase.com/law/court/judges
974,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> court -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is court of _PLACEHOLDER_OBJ_,www.freebase.com/law/court/jurisdiction
975,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> court -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is court of _PLACEHOLDER_SUB_,www.freebase.com/law/court_jurisdiction_area/courts
976,_PLACEHOLDER_OBJ_ -> relcl -> is -> nsubj -> manufacturer -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ was inventor _PLACEHOLDER_SUB_,www.freebase.com/law/invention/inventor
977,_PLACEHOLDER_OBJ_ -> acl -> invented -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP NOUN NOUN,_PLACEHOLDER_OBJ_ developed by inventor author _PLACEHOLDER_SUB_,www.freebase.com/law/inventor/inventions
978,_PLACEHOLDER_OBJ_ <- nsubj <- leads -> dobj -> business -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ leads business of _PLACEHOLDER_SUB_,www.freebase.com/law/judicial_title/judges
979,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> location -> conj -> headquarters -> prep -> for -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN NOUN ADP,_PLACEHOLDER_SUB_ is location headquarters for _PLACEHOLDER_OBJ_,www.freebase.com/library/public_library/library_system
980,_PLACEHOLDER_OBJ_ -> acl -> known -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ became capital of _PLACEHOLDER_OBJ_,www.freebase.com/location/administrative_division/capital
981,_PLACEHOLDER_OBJ_ -> acl -> designated -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is division of _PLACEHOLDER_OBJ_,www.freebase.com/location/administrative_division/country
982,_PLACEHOLDER_OBJ_ -> relcl -> consists -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ consists of _PLACEHOLDER_SUB_,www.freebase.com/location/administrative_division/first_level_division_of
983,_PLACEHOLDER_OBJ_ <- amod <- city -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,NOUN ADP,_PLACEHOLDER_OBJ_ city of _PLACEHOLDER_SUB_,www.freebase.com/location/administrative_division/second_level_division_of
984,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> capital -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is capital of _PLACEHOLDER_SUB_,www.freebase.com/location/ar_department/capital
